PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the GR agonist mode screen.,Percent activation in the ratio readout of the GR agonist mode screen.,Type of compound activity in the 530 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the GR agonist mode screen.,Percent activation in the 530 nm readout of the GR agonist mode screen.,Type of compound activity in the 460 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the GR agonist mode screen.,Percent activation in the 460 nm readout of the GR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
77,144203628,2141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
78,144203629,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
79,144203630,2230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
80,144203631,16231,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,BIOMOL
81,144203632,564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
82,144203633,135401907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
83,144203634,2157,Inconclusive,5,,,inconclusive,inconclusive agonist,28.4224,21.9029,active antagonist,26.8325,-47.8567,active antagonist,27.8822,-30.8244,inactive,BIOMOL
84,144203635,2119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
85,144203636,2123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
86,144203637,2196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
87,144203638,4768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
88,144203639,2471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
89,144203640,2351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
90,144203641,2284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
91,144203642,2369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
92,144203643,2477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
93,144203644,2717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
94,144203645,1687,Inconclusive,5,,,inconclusive,active agonist,27.2389,39.4776,active antagonist,29.4119,-64.8551,active antagonist,28.3046,-39.0079,inactive,BIOMOL
95,144203646,2765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
96,144203647,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
97,144203648,2578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
98,144203649,2754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
99,144203650,6241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
100,144203651,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
101,144203652,72276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
102,144203653,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
103,144203654,4211,Inconclusive,5,,,inconclusive,active agonist,26.8325,58.3979,active antagonist,27.8822,-75.9967,active antagonist,26.8325,-39.9326,inactive,SigmaAldrich
104,144203655,2554,Active,50,,,active agonist,active agonist,7.67697,90.7831,inactive,,0,active agonist,6.8421,102.956,inactive,SigmaAldrich
105,144203656,2733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
106,144203657,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
107,144203658,2720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
108,144203659,5309446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
109,144203660,1547484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
110,144203661,1355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
111,144203662,2812,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,0,inconclusive antagonist,12.8531,-26.3738,inconclusive antagonist,10.8146,-42.6338,inactive,"Prestwick Chemical, Inc."
112,144203663,2913,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
113,144203664,135398737,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,7.13938,35.6847,inactive,,0,inactive,BIOMOL
114,144203665,4652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
115,144203666,64927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
116,144203667,2796,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,,0,inactive,,0,inactive,SigmaAldrich
117,144203668,2801,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,23.9145,29.2546,inactive,,0,inactive,BIOMOL
118,144203669,2803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
119,144203670,2753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
120,144203671,2726,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,-18.0755,inactive,,0,inconclusive antagonist,28.4224,-32.1957,inactive,BIOMOL
121,144203672,2762,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
122,144203673,2576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
123,144203674,19379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
124,144203675,2910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
125,144203676,104920,Inconclusive,5,,,inconclusive,active agonist,24.4599,80.5122,active antagonist,17.3163,-81.4792,active antagonist,17.859,-39.863,inactive,BIOMOL
126,144203677,36811,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
127,144203678,3100,Inactive,0,,,inactive,inactive,,0,active agonist,23.0141,34.8282,inconclusive agonist,21.3138,24.6434,inactive,BIOMOL
128,144203679,10649,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,7.65612,-28.6408,inconclusive,,0,inactive,"Prestwick Chemical, Inc."
129,144203680,65327,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,9.63848,26.3556,inactive,,0,inactive,"Prestwick Chemical, Inc."
130,144203681,6419921,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
131,144203682,3053,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
132,144203683,3019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
133,144203684,3108,Inactive,0,,,inactive,inactive,,0,active agonist,18.9959,107.898,active agonist,16.2927,92.0098,fluorescent,BIOMOL
134,144203685,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
135,144203686,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
136,144203687,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
137,144203688,53708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
138,144203689,8307,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
139,144203690,72016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
140,144203691,3194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
141,144203692,6207,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
142,144203693,3396,Inconclusive,5,,,inconclusive,inconclusive agonist,21.3138,103.564,active antagonist,19.2837,-94.0625,active antagonist,16.9301,-53.0463,inactive,BIOMOL
143,144203694,3433,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
144,144203695,3386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
145,144203696,3331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
146,144203697,3372,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,30.1065,-69.246,active antagonist,27.8822,-45.8154,inactive,BIOMOL
147,144203698,3339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
148,144203699,3373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
149,144203700,3442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
150,144203701,3385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
151,144203702,3356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
152,144203703,3341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
153,144203704,3325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
154,144203705,3397,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
155,144203706,3333,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
156,144203707,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
157,144203708,3446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
158,144203709,3488,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
159,144203710,71401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
160,144203711,135398740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
161,144203712,5280961,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,13.4481,-23.3889,inconclusive,,0,inactive,SigmaAldrich
162,144203713,3559,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,21.3138,28.9123,inactive,,0,inactive,BIOMOL
163,144203714,9351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
164,144203715,5702293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
165,144203716,3639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
166,144203717,774,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,BIOMOL
167,144203718,681,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
168,144203719,3657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
169,144203720,785,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,NIEHS
170,144203721,3672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
171,144203722,55918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
172,144203723,3779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
173,144203724,54459,Inconclusive,5,,,inconclusive,active agonist,,12.2476,inactive,,0,inactive,,0,inactive,BIOMOL
174,144203725,3696,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,22.5767,29.5678,inconclusive agonist,,0,inactive,BIOMOL
175,144203726,133621,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
176,144203727,3827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
177,144203728,3932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
178,144203729,3965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
179,144203730,3878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
180,144203731,3955,Inactive,0,,,inactive,inactive,,0,inconclusive,,0,inconclusive antagonist,28.4224,-32.0154,inactive,BIOMOL
181,144203732,39562,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
182,144203733,3899,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
183,144203734,3676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
184,144203735,3883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
185,144203736,3957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
186,144203737,4170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
187,144203738,65710,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
188,144203739,4168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
189,144203740,4122,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inconclusive agonist,,0,inconclusive agonist,0.867869,33.1718,inactive,Microsource
190,144203741,4810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
191,144203742,4184,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8325,166.155,active antagonist,26.8325,-93.9357,inconclusive,,0,inactive,BIOMOL
192,144203743,5353788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
193,144203744,4201,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
194,144203745,6420039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
195,144203746,896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
196,144203747,119442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
197,144203748,51082,Inconclusive,5,,,inconclusive,active agonist,2.56454,32.0102,inconclusive antagonist,7.65612,-41.1704,inconclusive,,0,inactive,"Prestwick Chemical, Inc."
198,144203749,4032,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,BIOMOL
199,144203750,4054,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
200,144203751,4011,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
201,144203752,4507,Inconclusive,20,,,active antagonist,active antagonist,23.9145,-20.154,inactive,,0,inconclusive antagonist,26.8325,-29.9024,inactive,BIOMOL
202,144203753,4497,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-16.5519,inactive,,0,inactive,,0,inactive,BIOMOL
203,144203754,4500,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
204,144203755,4567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
205,144203756,4418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
206,144203757,4488,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
207,144203758,4495,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
208,144203759,4472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
209,144203760,4477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
210,144203761,71398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
211,144203762,4474,Inconclusive,20,,,active antagonist,active antagonist,,-15.057,inactive,,0,active antagonist,20.5113,-32.9115,inactive,BIOMOL
212,144203763,4485,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
213,144203764,4493,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
214,144203765,39214,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
215,144203766,4581,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,BIOMOL
216,144203767,4628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
217,144203768,4636,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
218,144203769,4626,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
219,144203770,4615,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
220,144203771,4847,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
221,144203772,4828,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
222,144203773,4671,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
223,144203774,4740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
224,144203775,16362,Inconclusive,5,,,inconclusive,inconclusive agonist,21.3138,126.038,active antagonist,21.3138,-87.4828,active antagonist,15.089,-55.0975,inactive,BIOMOL
225,144203776,40632,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
226,144203777,6084,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
227,144203778,4927,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8325,133.532,active antagonist,26.8325,-94.0719,active antagonist,27.8822,-50.6167,inactive,BIOMOL
228,144203779,4932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
229,144203780,4843,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
230,144203781,4992,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
231,144203782,54676228,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
232,144203783,1676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
233,144203784,4748,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,11.4554,27.9442,inactive,,0,inactive,"Prestwick Chemical, Inc."
234,144203785,5917,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
235,144203786,5887,Active,47,,,active agonist,active agonist,8.75673,69.2231,inactive,,0,active agonist,9.4553,118.173,inactive,"Prestwick Chemical, Inc."
236,144203787,61100,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
237,144203788,1046,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
238,144203789,4909,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
239,144203790,4848,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
240,144203791,24351,Inactive,0,,,inactive,inactive,,0,active agonist,22.4831,29.2426,inactive,,0,inactive,SIGMA
241,144203792,9373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
