PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144213572,2355,0,inactive,inactive,,0
144204577,2365,0,inactive,inactive,,0
144203642,2369,0,inactive,inactive,,0
144210703,2374,48,active antagonist,active antagonist,43.6412,-91.902
144204477,2377,0,inactive,inactive,,0
144207536,2391,0,inactive,inactive,,0
144203850,2435,0,inactive,inactive,,0
144204094,2446,0,inactive,inactive,,0
144204116,2448,0,inactive,inactive,,0
144206327,2449,0,inactive,inactive,,0
144210446,2450,0,inactive,inactive,,0
144207150,2451,50,active antagonist,active antagonist,13.4481,-64.7122
144204891,2453,60,active antagonist,active antagonist,10.6822,-141.261
144206890,2461,0,inactive,inactive,,0
144204073,2466,0,inactive,inactive,,0
144205717,2468,0,inactive,inactive,,0
144203639,2471,0,inactive,inactive,,0
144212688,2477,0,inactive,inactive,,0
144210637,2478,0,inactive,inactive,,0
144203979,2480,0,inactive,inactive,,0
144205282,2484,0,inactive,inactive,,0
144211084,2513,0,inactive,inactive,,0
144206697,2515,0,inactive,inactive,,0
144207846,2518,0,inactive,inactive,,0
144210330,2519,0,inactive,inactive,,0
144207435,2537,0,inactive,inactive,,0
144206711,2557,0,inactive,inactive,,0
144204460,2562,0,inactive,inactive,,0
144210940,2566,0,inactive,inactive,,0
144207821,2576,0,inactive,inactive,,0
144203648,2578,0,inactive,inactive,,0
144204916,2581,0,inactive,inactive,,0
144204686,2662,47,active antagonist,active antagonist,21.3138,-42.8802
144210643,2682,0,inactive,inactive,,0
144207308,2707,0,inactive,inactive,,0
144213313,2708,0,inactive,inactive,,0
144205121,2712,0,inactive,inactive,,0
144212514,2717,0,inactive,inactive,,0
144203658,2720,0,inactive,inactive,,0
144205047,2722,61,active antagonist,active antagonist,5.56323,-116.011
144212364,2723,0,inactive,inactive,,0
144204038,2724,0,inactive,inactive,,0
144203671,2726,0,inactive,inactive,,0
144213106,2727,0,inactive,inactive,,0
144209064,2728,0,inactive,inactive,,0
