PUBCHEM_CID,Activity Score,Ratio Potency (uM),Ratio Efficacy (%)
2758,inactive,,0
2762,inactive,,0
2763,inactive,,0
2765,inactive,,0
2767,inactive,,0
2769,inactive,,0
2775,inactive,,0
2783,inactive,,0
2787,inactive,,0
2788,active antagonist,13.2633,-137.7385
2789,inactive,,0
2794,inactive,,0
2795,inactive,,0
2796,inactive,,0
2797,inactive,,0
2801,inactive,,0
2803,inactive,,0
2804,inactive,,0
2812,active antagonist,6.44182,-123.011
2817,inactive,,0
2870,active antagonist,6.029995,-73.2568
2871,inactive,,0
2879,inactive,,0
2883,inactive,,0
2893,active agonist,25.8222,24.4614
2898,inactive,,0
2904,inactive,,0
2910,inactive,,0
2912,inactive,,0
2913,inactive,,0
2942,inactive,,0
2943,inactive,,0
2950,inactive,,0
2955,inactive,,0
2969,inactive,,0
2972,inactive,,0
2997,active antagonist,22.1476,-65.8429
2998,active agonist,,15.0597
3016,active antagonist,22.6365,-65.5288
3017,inactive,,0
3019,inactive,,0
3023,inactive,,0
3024,inactive,,0
3025,inactive,,0
3026,inactive,,0
3030,inactive,,0
3031,inactive,,0
3035,inactive,,0
3038,inactive,,0
3039,inactive,,0
3042,inactive,,0
3053,inactive,,0
3054,active antagonist,,-17.7653
3055,inactive,,0
3059,inactive,,0
3073,inactive,,0
3074,inactive,,0
3080,active antagonist,20.5113,-69.4724
3081,inactive,,0
3082,inactive,,0
3089,inactive,,0
3090,inactive,,0
3092,inactive,,0
3100,inactive,,0
3102,inactive,,0
3108,inactive,,0
3114,inactive,,0
3115,inactive,,0
3117,inactive,,0
3118,inactive,,0
3120,inactive,,0
3121,inactive,,0
3151,inactive,,0
3168,inactive,,0
3169,inactive,,0
3182,inactive,,0
3194,inactive,,0
3220,active antagonist,54.9477,-69.8134
3225,inactive,,0
3226,inactive,,0
3229,inactive,,0
3242,inactive,,0
3259,inactive,,0
3261,inactive,,0
3275,inactive,,0
3276,inactive,,0
3278,active antagonist,27.8822,-106.978
3282,inactive,,0
3286,inactive,,0
3289,inactive,,0
3291,inactive,,0
3292,inactive,,0
3293,inactive,,0
3295,inactive,,0
3300,inactive,,0
3301,inactive,,0
3305,inactive,,0
3307,active antagonist,16.2927,-73.3687
3308,inactive,,0
3309,inactive,,0
3314,inactive,,0
3316,inactive,,0
3324,inactive,,0
3325,inactive,,0
3326,inactive,,0
3331,inactive,,0
3332,inactive,,0
3333,active antagonist,12.9418,-99.0189
3334,active agonist,1.0204785,109.509
3335,inactive,,0
3337,inactive,,0
3338,inactive,,0
3339,inactive,,0
3341,inactive,,0
3345,inactive,,0
3346,inactive,,0
3347,inactive,,0
3352,inactive,,0
3356,inactive,,0
3357,inactive,,0
3362,inactive,,0
3365,inactive,,0
3366,inactive,,0
3371,active antagonist,43.6412,-89.3002
3372,inactive,,0
3373,inactive,,0
3374,inactive,,0
3385,inactive,,0
3386,inactive,,0
3393,inactive,,0
3394,inactive,,0
3395,inactive,,0
3397,inactive,,0
3418,inactive,,0
3433,inactive,,0
3440,inactive,,0
3442,inactive,,0
3444,inactive,,0
3446,inactive,,0
3448,inactive,,0
3463,inactive,,0
3475,inactive,,0
3476,inactive,,0
3478,inactive,,0
3485,inactive,,0
3487,inactive,,0
3488,inactive,,0
3489,inactive,,0
3515,inactive,,0
3516,inactive,,0
3517,inactive,,0
3552,inactive,,0
3559,inactive,,0
3561,active agonist,4.09255,72.9964
3562,inactive,,0
3589,inactive,,0
3599,inactive,,0
3604,inactive,,0
3607,inactive,,0
3608,inactive,,0
3610,inactive,,0
3627,inactive,,0
3634,active agonist,15.089,298.288
3639,inactive,,0
3647,inactive,,0
3657,inactive,,0
3658,inactive,,0
3671,inactive,,0
3672,inactive,,0
3676,inactive,,0
3681,active agonist,0.848517,101.783
3686,inactive,,0
3689,inactive,,0
3690,inactive,,0
3696,inactive,,0
3698,inactive,,0
3702,inactive,,0
3705,inactive,,0
3712,inactive,,0
3715,inactive,,0
3718,active agonist,7.00369,60.8216
3723,inactive,,0
3724,inactive,,0
3727,inactive,,0
3728,active antagonist,11.1001,-148.534
3730,inactive,,0
3731,inactive,,0
3735,active antagonist,25.1932,-61.73
3736,inactive,,0
3739,inactive,,0
3740,inactive,,0
3741,inactive,,0
3742,inactive,,0
3743,inactive,,0
3747,inactive,,0
3749,inactive,,0
3759,inactive,,0
3760,inactive,,0
3763,inactive,,0
3767,inactive,,0
3775,inactive,,0
3776,inactive,,0
3778,inactive,,0
3779,inactive,,0
3784,inactive,,0
3821,inactive,,0
3822,inactive,,0
3825,inactive,,0
3827,inactive,,0
3828,inactive,,0
3830,inactive,,0
3840,inactive,,0
3878,inactive,,0
3883,inactive,,0
3884,active agonist,1.1773,82.8942
3893,inactive,,0
3899,inactive,,0
3902,inactive,,0
3926,inactive,,0
3932,inactive,,0
3936,active agonist,16.9301,57.9608
3950,inactive,,0
3955,inactive,,0
3957,inactive,,0
3958,inactive,,0
3961,inactive,,0
3965,inactive,,0
3969,active antagonist,22.5767,-90.5185
4004,inactive,,0
4006,inactive,,0
4011,inactive,,0
4021,inactive,,0
4030,active agonist,2.19959,106.309
4032,inactive,,0
4041,inactive,,0
4044,inactive,,0
4047,inactive,,0
4054,inactive,,0
4055,inactive,,0
4059,inactive,,0
4064,inactive,,0
4066,inactive,,0
4075,inactive,,0
4078,inactive,,0
4091,inactive,,0
4093,inactive,,0
4096,inactive,,0
4099,inactive,,0
4100,inactive,,0
4101,inactive,,0
4107,inactive,,0
4109,inactive,,0
4114,inactive,,0
4115,inactive,,0
4116,inactive,,0
4117,inactive,,0
4121,inactive,,0
4122,active agonist,0.785827,140.544
4130,inactive,,0
4133,inactive,,0
4156,inactive,,0
4165,inactive,,0
4168,inactive,,0
4169,inactive,,0
4170,inactive,,0
4173,inactive,,0
4174,inactive,,0
4189,inactive,,0
4197,inactive,,0
4201,inactive,,0
4205,inactive,,0
4211,active antagonist,14.2449,-66.6535
4235,inactive,,0
4236,inactive,,0
4237,inactive,,0
4257,inactive,,0
4276,inactive,,0
4284,inactive,,0
4348,inactive,,0
4409,inactive,,0
4410,inactive,,0
4418,inactive,,0
4420,inactive,,0
4421,inactive,,0
4463,inactive,,0
4472,inactive,,0
4474,active antagonist,19.7391,-106.934
4476,inactive,,0
4477,active agonist,0.227281,227.147
4485,active antagonist,15.6793,-94.8854
4487,inactive,,0
4488,inactive,,0
4493,inactive,,0
4494,active antagonist,13.4481,-125.011
4495,inactive,,0
4496,active agonist,0.441903,99.6168
4497,active antagonist,15.089,-113.838
4500,inactive,,0
4506,inactive,,0
4507,active antagonist,13.4481,-115.587
4509,inactive,,0
4511,inactive,,0
4513,inactive,,0
4514,inactive,,0
4528,inactive,,0
4539,inactive,,0
4567,inactive,,0
4581,inactive,,0
4583,inactive,,0
4594,inactive,,0
4595,inactive,,0
4602,inactive,,0
4610,inactive,,0
4612,inactive,,0
4614,inactive,,0
4615,active antagonist,26.8325,-44.5477
4616,inactive,,0
4621,inactive,,0
4622,active agonist,1.29418,129.064
4626,inactive,,0
4628,inactive,,0
4632,inactive,,0
4636,inactive,,0
4641,inactive,,0
4650,inactive,,0
4652,inactive,,0
4654,inactive,,0
4671,inactive,,0
4674,inactive,,0
4677,inactive,,0
4678,inactive,,0
4679,inactive,,0
4684,inactive,,0
4685,inactive,,0
4723,inactive,,0
4726,inactive,,0
4737,inactive,,0
4740,inactive,,0
4744,inactive,,0
4747,inactive,,0
4748,inactive,,0
4753,inactive,,0
4754,inactive,,0
4760,inactive,,0
4763,inactive,,0
4764,active antagonist,18.9959,-102.862
4765,inactive,,0
4766,inactive,,0
4767,inactive,,0
4768,inactive,,0
4770,inactive,,0
4781,inactive,,0
4783,inactive,,0
4790,inactive,,0
4793,inactive,,0
4806,inactive,,0
4807,active antagonist,,-16.6235
4810,inactive,,0
4820,inactive,,0
4828,inactive,,0
4831,inactive,,0
4837,inactive,,0
4842,inactive,,0
4843,inactive,,0
4847,inactive,,0
4848,inactive,,0
4849,active agonist,8.75673,39.4536
4850,inactive,,0
4855,inactive,,0
4870,inactive,,0
4875,inactive,,0
4883,inactive,,0
4887,inactive,,0
4888,inactive,,0
4890,active antagonist,42.424,-82.3727
4891,inactive,,0
4893,inactive,,0
4904,inactive,,0
4909,inactive,,0
4911,inactive,,0
4912,inactive,,0
4913,inactive,,0
4915,inactive,,0
4922,inactive,,0
4928,inactive,,0
4929,inactive,,0
4930,inactive,,0
4931,active antagonist,15.4864,-78.2478
4932,inactive,,0
4933,inactive,,0
4936,inactive,,0
4937,inactive,,0
4938,inactive,,0
4943,inactive,,0
4944,inactive,,0
4947,active antagonist,7.72361,-48.6121
4963,active agonist,23.3627,30.5761
4964,inactive,,0
4977,inactive,,0
4980,inactive,,0
4990,inactive,,0
4992,inactive,,0
4993,inactive,,0
4994,inactive,,0
5002,inactive,,0
5037,inactive,,0
5042,inactive,,0
5053,active antagonist,25.4733,-89.438
5054,inactive,,0
5055,inactive,,0
5070,active antagonist,9.52052,-47.1075
5073,inactive,,0
5078,inactive,,0
5090,inactive,,0
5092,inactive,,0
5094,inactive,,0
5095,inactive,,0
5104,inactive,,0
5125,inactive,,0
5143,inactive,,0
5144,inactive,,0
5146,inactive,,0
5147,inactive,,0
5152,inactive,,0
5154,active antagonist,,-13.5316
5161,inactive,,0
5192,inactive,,0
5198,inactive,,0
5206,inactive,,0
5215,inactive,,0
5216,inactive,,0
5233,inactive,,0
5237,inactive,,0
5238,inactive,,0
5253,inactive,,0
5258,inactive,,0
5265,inactive,,0
5268,inactive,,0
5278,inactive,,0
5281,inactive,,0
5311,active antagonist,0.952052,-82.376
5315,inactive,,0
5319,inactive,,0
5320,inactive,,0
5323,inactive,,0
5324,inactive,,0
5325,inactive,,0
5326,inactive,,0
5327,inactive,,0
5328,inactive,,0
5329,inactive,,0
5330,inactive,,0
5332,inactive,,0
5333,inactive,,0
5334,inactive,,0
5335,inactive,,0
5336,inactive,,0
5338,inactive,,0
5339,inactive,,0
5340,inactive,,0
5342,inactive,,0
5343,inactive,,0
5344,inactive,,0
5353,inactive,,0
5355,inactive,,0
5358,inactive,,0
5359,inactive,,0
5361,inactive,,0
5362,inactive,,0
5374,inactive,,0
5379,inactive,,0
5380,inactive,,0
5381,inactive,,0
5382,inactive,,0
5383,inactive,,0
5386,inactive,,0
5387,inactive,,0
5391,active antagonist,34.5556,-71.6579
5392,active antagonist,43.6412,-51.3582
5394,inactive,,0
5405,inactive,,0
5424,inactive,,0
5426,inactive,,0
5429,inactive,,0
5430,inactive,,0
5432,inactive,,0
5443,inactive,,0
5447,inactive,,0
5453,inactive,,0
5454,inactive,,0
5455,active agonist,0.0608011,22.7249
5468,inactive,,0
5472,inactive,,0
5475,active agonist,23.9145,217.428
5479,inactive,,0
5480,inactive,,0
5483,inactive,,0
5484,inactive,,0
5487,inactive,,0
5497,inactive,,0
5502,inactive,,0
5503,inactive,,0
5505,inactive,,0
5507,inactive,,0
5510,inactive,,0
5526,inactive,,0
5531,inactive,,0
5536,inactive,,0
5541,inactive,,0
5543,inactive,,0
5546,active agonist,39.12223333,137.8725
5556,inactive,,0
5558,inactive,,0
5560,inactive,,0
5561,inactive,,0
5564,inactive,,0
5565,inactive,,0
5569,inactive,,0
5576,inactive,,0
5578,inactive,,0
5585,inactive,,0
5590,active agonist,12.6958,70.2965
5591,inactive,,0
5593,inactive,,0
5597,inactive,,0
5610,inactive,,0
5625,inactive,,0
5634,inactive,,0
5639,inactive,,0
5641,inactive,,0
5656,inactive,,0
5665,inactive,,0
5694,inactive,,0
5707,inactive,,0
5717,inactive,,0
5719,inactive,,0
5720,inactive,,0
5723,active antagonist,0.124545,-51.5935
5724,active antagonist,38.8952,-58.2782
5727,inactive,,0
5732,active agonist,23.0141,72.3463
5734,inactive,,0
5736,inactive,,0
5741,inactive,,0
5743,active agonist,0.00378085,100.614
5745,active antagonist,2.39145,-30.063
5746,inactive,,0
5748,inactive,,0
5753,active agonist,0.220763333,29.42763333
5753,active antagonist,0.952452333,-70.86733333
5754,active agonist,0.0575882,92.1422
5755,active agonist,0.036975067,102.1508667
5756,active antagonist,19.53505,-74.27235
5757,active antagonist,1.702945,-112.996
5758,inactive,,0
5759,inactive,,0
5761,inactive,,0
5763,inactive,,0
5765,inactive,,0
5770,active antagonist,30.1735,-44.09225
5773,inactive,,0
5775,inactive,,0
5780,inactive,,0
5784,inactive,,0
5787,inactive,,0
5790,inactive,,0
5793,inactive,,0
5794,inactive,,0
5795,inactive,,0
5798,inactive,,0
5801,inactive,,0
5803,active antagonist,9.82521,-111.425
5807,inactive,,0
5811,inactive,,0
5815,inactive,,0
5816,inactive,,0
5817,inactive,,0
5819,inactive,,0
5827,inactive,,0
5831,inactive,,0
5833,active antagonist,6.83004,-135.725
5834,active agonist,0.175925,100.49
5852,inactive,,0
5853,inactive,,0
5859,inactive,,0
5865,active antagonist,3.59878,-99.36653333
5870,inactive,,0
5876,active agonist,0.02504945,102.8753
5877,active agonist,0.028973,101.802
5881,active antagonist,21.94555,-74.05255
5883,inactive,,0
5889,inactive,,0
5892,inactive,,0
5897,active antagonist,20.9803,-51.0669
5902,inactive,,0
5905,active agonist,2.03708,38.5376
5910,inactive,,0
5917,inactive,,0
5918,inactive,,0
5920,active antagonist,15.6793,-132.292
5921,inactive,,0
5922,inactive,,0
5930,inactive,,0
5934,inactive,,0
5935,active agonist,18.59815,77.4416
5936,inactive,,0
5942,active agonist,18.6874,72.4212
5943,inactive,,0
5946,inactive,,0
5952,active antagonist,0.72777,-104.429
5953,inactive,,0
5954,inactive,,0
5957,inactive,,0
5959,inactive,,0
5962,inactive,,0
5963,inactive,,0
5971,inactive,,0
5976,inactive,,0
5977,inactive,,0
5978,active agonist,0.239145,95.5635
5983,inactive,,0
5987,inactive,,0
5988,inactive,,0
5991,active antagonist,1.08858,-114.449
5994,inactive,,0
5995,active antagonist,5.064445,-126.2705
5997,inactive,,0
6001,active agonist,38.9187,56.55695
6005,inactive,,0
6009,inactive,,0
6010,active antagonist,4.43681,-141.8663333
6013,active antagonist,1.2217,-134.492
6014,inactive,,0
6018,inactive,,0
6019,inactive,,0
6024,inactive,,0
6025,inactive,,0
6028,inactive,,0
6034,inactive,,0
6035,active agonist,1.4022,40.9076
6036,inactive,,0
6040,inactive,,0
6043,inactive,,0
6046,inactive,,0
6047,inactive,,0
6048,inactive,,0
6049,inactive,,0
6051,inactive,,0
6053,inactive,,0
6054,inactive,,0
6057,inactive,,0
6058,inactive,,0
6060,inactive,,0
6075,inactive,,0
6076,inactive,,0
6081,inactive,,0
6083,inactive,,0
6084,inactive,,0
6093,inactive,,0
6100,inactive,,0
6101,inactive,,0
6103,inactive,,0
6108,inactive,,0
6113,inactive,,0
6114,inactive,,0
6115,inactive,,0
6124,inactive,,0
6126,inactive,,0
6128,active antagonist,24.3233,-102.1253
6129,inactive,,0
6134,inactive,,0
6135,inactive,,0
6136,inactive,,0
6143,inactive,,0
6145,inactive,,0
6163,inactive,,0
6166,active antagonist,0.806424,-113.342
6167,active agonist,0.175308833,129.168
6172,inactive,,0
6184,inactive,,0
6194,inactive,,0
6197,active antagonist,4.925035,-89.5081
6202,inactive,,0
6207,inactive,,0
6209,inactive,,0
6211,inactive,,0
6212,inactive,,0
6214,inactive,,0
6215,active agonist,0.00268085,96.6157
6216,active agonist,0.182807,100.958
6227,inactive,,0
6228,inactive,,0
6230,active antagonist,2.0364635,-125.285
6231,active antagonist,3.6225,-131.471
6233,inactive,,0
6234,inactive,,0
6237,inactive,,0
6238,active antagonist,0.769064,-102.4245
6241,inactive,,0
6243,inactive,,0
6249,inactive,,0
6251,inactive,,0
6252,inactive,,0
6253,inactive,,0
6256,inactive,,0
6257,inactive,,0
6259,inactive,,0
6264,inactive,,0
6269,inactive,,0
6271,inactive,,0
6276,inactive,,0
6277,inactive,,0
6278,inactive,,0
6279,active agonist,0.06960505,46.82775
6279,active antagonist,0.09101775,-52.2073
6282,inactive,,0
6285,inactive,,0
6288,inactive,,0
6291,active antagonist,9.52052,-44.0465
6292,inactive,,0
6293,inactive,,0
6294,inactive,,0
6295,active antagonist,19.4962,-53.0249
6296,inactive,,0
6300,active antagonist,4.41903,-114.019
6301,inactive,,0
6305,inactive,,0
6307,inactive,,0
6317,inactive,,0
6318,inactive,,0
6319,inactive,,0
6322,inactive,,0
6332,inactive,,0
6333,inactive,,0
6336,inactive,,0
6342,inactive,,0
6344,inactive,,0
6348,inactive,,0
6358,inactive,,0
6359,inactive,,0
6364,inactive,,0
6365,inactive,,0
6366,inactive,,0
6374,inactive,,0
6375,inactive,,0
6377,inactive,,0
6379,inactive,,0
6383,inactive,,0
6385,inactive,,0
6387,inactive,,0
6389,inactive,,0
6395,inactive,,0
6396,inactive,,0
6397,inactive,,0
6403,inactive,,0
6405,inactive,,0
6406,inactive,,0
6409,inactive,,0
6415,inactive,,0
6416,inactive,,0
6417,inactive,,0
6418,inactive,,0
6419,inactive,,0
6420,inactive,,0
6421,inactive,,0
6423,inactive,,0
6427,inactive,,0
6428,inactive,,0
6433,inactive,,0
6436,active agonist,0.002925497,103.2655333
6442,inactive,,0
6446,active antagonist,1.1449035,-102.86455
6451,inactive,,0
6461,active agonist,8.42705,77.5661
6466,inactive,,0
6476,inactive,,0
6478,inactive,,0
6479,inactive,,0
6480,inactive,,0
6488,inactive,,0
6490,inactive,,0
6491,inactive,,0
6492,inactive,,0
6494,inactive,,0
6495,inactive,,0
6497,inactive,,0
6498,inactive,,0
6501,inactive,,0
6502,inactive,,0
6503,inactive,,0
6504,inactive,,0
6505,inactive,,0
6506,inactive,,0
6510,inactive,,0
6514,inactive,,0
6515,inactive,,0
6516,inactive,,0
6517,inactive,,0
6518,inactive,,0
6525,inactive,,0
6527,inactive,,0
6528,inactive,,0
6529,inactive,,0
6532,inactive,,0
6533,inactive,,0
6534,inactive,,0
6535,inactive,,0
6537,inactive,,0
6540,inactive,,0
6544,inactive,,0
6545,inactive,,0
6547,inactive,,0
6548,inactive,,0
6549,inactive,,0
6554,inactive,,0
6559,inactive,,0
6560,inactive,,0
6561,inactive,,0
6563,inactive,,0
6564,inactive,,0
6565,inactive,,0
6567,inactive,,0
6568,inactive,,0
6569,inactive,,0
6570,inactive,,0
6571,inactive,,0
6574,inactive,,0
6575,inactive,,0
6577,inactive,,0
6579,inactive,,0
6581,inactive,,0
6582,inactive,,0
6584,inactive,,0
6585,inactive,,0
6586,inactive,,0
6587,inactive,,0
6588,inactive,,0
6589,inactive,,0
6590,inactive,,0
6591,inactive,,0
6593,inactive,,0
6595,inactive,,0
6597,inactive,,0
6598,inactive,,0
6610,inactive,,0
6616,inactive,,0
6618,active antagonist,9.01834,-107.179
6619,active antagonist,8.48164,-101.64125
6620,active antagonist,10.8483,-99.3475
6621,inactive,,0
6623,active antagonist,37.8069,-90.2892
6624,inactive,,0
6625,inactive,,0
6626,inactive,,0
6627,inactive,,0
6629,inactive,,0
6633,inactive,,0
6634,inactive,,0
6635,inactive,,0
6636,inactive,,0
6637,inactive,,0
6640,inactive,,0
6641,inactive,,0
6643,inactive,,0
6649,inactive,,0
6650,inactive,,0
6651,inactive,,0
6654,inactive,,0
6658,inactive,,0
6668,inactive,,0
6669,inactive,,0
6670,inactive,,0
6672,inactive,,0
6673,inactive,,0
6674,inactive,,0
6680,inactive,,0
6681,inactive,,0
6683,inactive,,0
6688,inactive,,0
6693,inactive,,0
6694,active agonist,5.70904,32.9501
6702,inactive,,0
6719,active antagonist,23.0141,-80.9726
6720,inactive,,0
6730,inactive,,0
6731,inactive,,0
6732,inactive,,0
6733,inactive,,0
6734,inactive,,0
6736,inactive,,0
6737,inactive,,0
6738,inactive,,0
6739,inactive,,0
6740,inactive,,0
6741,active agonist,0.02934555,99.55815
6753,inactive,,0
6758,active agonist,1.89959,103.703
6764,inactive,,0
6773,inactive,,0
6777,inactive,,0
6778,inactive,,0
6780,inactive,,0
6781,inactive,,0
6782,inactive,,0
6785,inactive,,0
6786,inactive,,0
6787,active antagonist,4.11294,-30.9177
6788,inactive,,0
6796,inactive,,0
6799,inactive,,0
6805,inactive,,0
6806,inactive,,0
6808,inactive,,0
6809,inactive,,0
6810,inactive,,0
6811,inactive,,0
6818,inactive,,0
6819,inactive,,0
6828,inactive,,0
6829,inactive,,0
6837,inactive,,0
6838,inactive,,0
6839,inactive,,0
6849,inactive,,0
6853,inactive,,0
6854,inactive,,0
6855,inactive,,0
6861,inactive,,0
6862,inactive,,0
6867,active agonist,45.3485,178.534
6868,inactive,,0
6872,inactive,,0
6873,inactive,,0
6877,inactive,,0
6880,inactive,,0
6881,inactive,,0
6883,inactive,,0
6893,inactive,,0
6894,inactive,,0
6895,inactive,,0
6896,inactive,,0
6899,inactive,,0
6901,inactive,,0
6904,inactive,,0
6905,inactive,,0
6909,inactive,,0
6912,inactive,,0
6914,inactive,,0
6915,inactive,,0
6917,inactive,,0
6919,inactive,,0
6921,inactive,,0
6923,inactive,,0
6924,inactive,,0
6926,inactive,,0
6927,inactive,,0
6929,active antagonist,44.4862,-65.4041
6931,inactive,,0
6934,inactive,,0
6935,inactive,,0
6936,inactive,,0
6937,inactive,,0
6942,inactive,,0
6943,inactive,,0
6944,inactive,,0
6945,inactive,,0
6946,inactive,,0
6947,inactive,,0
6948,inactive,,0
6950,inactive,,0
6951,inactive,,0
6956,inactive,,0
6960,inactive,,0
6961,inactive,,0
6962,inactive,,0
