PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004339325 uM,W460-Activity at 0.00129 uM,W460-Activity at 0.00384 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.034 uM,W460-Activity at 0.057 uM,W460-Activity at 0.106 uM,W460-Activity at 0.314 uM,W460-Activity at 0.650 uM,W460-Activity at 0.975 uM,W460-Activity at 2.847 uM,W460-Activity at 4.858 uM,W460-Activity at 8.475 uM,W460-Activity at 24.77 uM,W460-Activity at 36.32 uM,W460-Activity at 76.79 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004339325 uM,Ratio-Activity at 0.00129 uM,Ratio-Activity at 0.00384 uM,Ratio-Activity at 0.00491 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.034 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.106 uM,Ratio-Activity at 0.314 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.975 uM,Ratio-Activity at 2.847 uM,Ratio-Activity at 4.858 uM,Ratio-Activity at 8.475 uM,Ratio-Activity at 24.77 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.79 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 407.0 uM,Ratio-Activity at 910.0 uM,Ratio-Activity at 2034.7 uM,Ratio-Activity at 4832.4 uM,Ratio-Activity at 10805.3 uM,Ratio-Activity at 24160.5 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004339325 uM,W530-Activity at 0.00129 uM,W530-Activity at 0.00384 uM,W530-Activity at 0.00491 uM,W530-Activity at 0.012 uM,W530-Activity at 0.034 uM,W530-Activity at 0.057 uM,W530-Activity at 0.106 uM,W530-Activity at 0.314 uM,W530-Activity at 0.650 uM,W530-Activity at 0.975 uM,W530-Activity at 2.847 uM,W530-Activity at 4.858 uM,W530-Activity at 8.475 uM,W530-Activity at 24.77 uM,W530-Activity at 36.32 uM,W530-Activity at 76.79 uM,W530-Activity at 182.0 uM,W530-Activity at 407.0 uM,W530-Activity at 910.0 uM,W530-Activity at 2034.7 uM,W530-Activity at 4832.4 uM,W530-Activity at 10805.3 uM,W530-Activity at 24160.5 uM,W530-Activity at 54023.0 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: &apos;qHTS&apos;, &apos;qHTS Verification&apos;, &apos;Secondary Profiling&apos;"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,
1,11112138,5995,Active,40,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-p1/NCGC00016254-01/24061245,,Inhibitor,31.6228,78.6174,,Single point of activity,-4.3,1.4641,0.4484,-51.1354,3.5,-3,0 0 0 0 1 0 0 0 0 0 0 0 1 0 0,-37.9365,,-20.7805,6.1101,2.2468,15.3705,-16.8833,6.7154,-7.5515,18.1799,10.2481,4.4306,14.7779,-20.5242,,14.9618,-6.7785,-37.9365,,,,,,,,,Partial curve; partial efficacy,-4.5,2.4729,0.9527,-68.7153,9.902,-2.2,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-60.6778,,-26.5349,2.119,1.4215,8.0362,8.4604,16.0912,12.6876,9.1762,8.4223,17.3628,12.6414,14.0525,,-3.0975,-32.7849,-60.6778,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,11.7811,,-5.1042,-4.8032,-6.9839,-2.4884,-20.9089,-13.627,-18.32,-5.3513,-7.5943,-15.5595,-5.5879,-28.6148,,1.6103,14.5048,11.7811,,,,,,,,,QC'd by Prestwick
2,17388662,26041,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944716-01/24060313,,Cytotoxic,44.6684,71.0657,,Complete curve; high efficacy,-5.25,4.9549,0.9287,-123.124,-8.5402,-1.1,0 0 0 0 0 0 0 0 0 1 1 0 0 0,-111.797,-3.8136,,2.3455,,-42.2011,-15.9881,-19.2394,11.8596,-4.3101,-8.3197,5.4336,,-66.5946,19.6268,-127.547,-130.478,-111.797,,,,,,,,,Complete curve; high efficacy,-5.25,4.5045,0.9679,-113.355,-4.8605,-1.1,0 0 0 0 0 0 0 0 0 0 1 0 0 1,-23.1642,1.0184,,-16.9681,,-16.7039,-2.0035,-14.9221,-0.0928,-0.2401,6.2916,-0.6462,,-15.8261,58.3805,-115.221,-110.519,-23.1642,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.35,1.21,0.793,-77.649,-6.5833,-2.4,0 0 0 0 0 0 0 0 0 1 0 0 0 0,-59.2214,-9.2113,,6.6114,,-18.7789,-13.0845,-6.2098,-0.5487,-5.2011,-13.7769,0.2499,,-37.217,-21.9605,-22.305,-29.5758,-59.2214,,,,,,,,,QC'd by NIEHS/NTP
3,17388663,5281576,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07930229-01/24060785,,Inhibitor,44.6684,120.437,,Partial curve; high efficacy; poor fit,-4.35,1.9673,0.8449,-125.652,-8.2741,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-104.71,-30.4349,,13.4918,,-5.8528,-8.9517,-3.675,-8.0272,-7.9609,-7.3449,-4.2717,,-27.6657,-7.0608,-28.8607,-45.5365,-104.71,,,,,,,,,Partial curve; high efficacy; poor fit,-4.35,1.9673,0.8862,-131.486,-11.0497,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-104.968,-2.7437,,1.6902,,-4.7276,-24.1162,-18.0403,-21.5249,-26.1317,-13.3122,5.5288,,-18.7239,-10.0898,-31.841,-61.7263,-104.968,,,,,,,,,,,,,,,4,,-4.1477,-13.8251,,-1.5749,,7.9682,1.2684,2.4404,-1.0779,6.8333,-5.121,0.4781,,-13.5704,-7.1342,-5.2519,7.9774,-4.1477,,,,,,,,,QC'd by NIEHS/NTP
4,17388664,5281575,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB13681038-01/24060458,,Inconclusive,,,,,,,,,,4,,23.3726,-3.7584,,13.7674,,19.3901,23.3903,15.6922,25.3858,8.1988,17.3781,6.1667,,18.9263,46.2779,28.6983,7.652,23.3726,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.25,3.132,0.8404,50.6393,10,1.4,1 0 0 0 0 0 0 0 0 0 0 0 1 0,47.4574,-11.2513,,5.3103,,6.6506,29.0547,13.6823,15.3344,7.6713,13.0911,4.3269,,13.3264,42.1728,55.126,6.6783,47.4574,,,,,,,,,,,,,,,4,,-14.1564,2.3024,,3.6489,,9.2807,-3.7999,0.9679,1.9522,1.9707,0.5323,2.2557,,2.759,-0.6115,-13.3397,-1.2507,-14.1564,,,,,,,,,QC'd by NIEHS/NTP
5,17388665,5280795,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-antagonist-ntp-p1/AB07944741-01/24060684,,Inhibitor,50.1187,93.3465,,Single point of activity,-4.3,3.5117,0.7823,-53.553,5.5,-3,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-56.7234,-15.8161,,0.2022,,3.8035,10.3317,-15.0176,6.515,10.5292,2.2603,9.8732,,11.5157,15.8518,2.1323,-4.4736,-56.7234,,,,,,,,,Single point of activity,-4.3,4.9549,0.9356,-96.0699,-2.7235,-3,0 0 0 0 0 0 0 0 0 0 0 0 1 0,-85.9847,-15.8069,,-0.4711,,3.1731,-3.546,-7.918,0.4856,-7.0808,-10.0848,6.25,,-0.9084,-0.4292,2.0747,8.3437,-85.9847,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 1 0,25.4583,-4.3836,,-2.7851,,0.1761,4.3109,-5.7275,-1.7552,9.7016,3.3697,0.8384,,4.5499,4.7375,-3.2035,-10.2521,25.4583,,,,,,,,,QC'd by NIEHS/NTP
